"Year","Sex","Age group","Country/Region/World","ISO","Prevalence of BMI < -2SD (thinness)","Prevalence of BMI < -2SD (thinness) lower 95% uncertainty interval","Prevalence of BMI < -2SD (thinness) upper 95% uncertainty interval","Prevalence of BMI > 2SD (obesity)","Prevalence of BMI > 2SD (obesity) lower 95% uncertainty interval","Prevalence of BMI > 2SD (obesity) upper 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity)","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) lower 95% uncertainty interval","Combined prevalence of BMI < -2SD and BMI > 2SD (double burden of thinness and obesity) upper 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD","Prevalence of -2SD ≤ BMI < -1SD lower 95% uncertainty interval","Prevalence of -2SD ≤ BMI < -1SD upper 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD","Prevalence of -1SD ≤ BMI ≤ 1SD lower 95% uncertainty interval","Prevalence of -1SD ≤ BMI ≤ 1SD upper 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD","Prevalence of 1SD < BMI ≤ 2SD lower 95% uncertainty interval","Prevalence of 1SD < BMI ≤ 2SD upper 95% uncertainty interval"
2009,"Girls",5,"Central and eastern Europe",NA,0.03685230224698312,0.029806369098306182,0.04478952904381083,0.08193236761472765,0.06872329516337033,0.09643983468274152,0.11878466986171077,0.10422280694923536,0.134049719622209,0.1390903614247645,0.12492482900782678,0.1536364416588897,0.6016518802268132,0.582864743846646,0.6198764475520813,0.1404730884867116,0.12637984249514297,0.15554609083188772
2010,"Girls",5,"Central and eastern Europe",NA,0.03675788419782593,0.02957844553151736,0.044735331686153484,0.08361833666727847,0.06984101450362248,0.09864035852821142,0.12037622086510441,0.105440502165618,0.13613483717580172,0.13851369849893302,0.12422374297190665,0.15324073198987345,0.5984684879763622,0.5791258984259221,0.6170782043122762,0.14264159265960036,0.128165370070188,0.15819781563235866
2011,"Girls",5,"Central and eastern Europe",NA,0.03676829029873198,0.029477868691020384,0.04491869935353734,0.08494561713209446,0.07096287173783,0.10058148377524179,0.12171390743082643,0.10626634105481561,0.1378674408900153,0.13810247137174833,0.12350480116258945,0.15315255076748935,0.5955508455707348,0.5758894552258256,0.6144522988102107,0.1446327756266905,0.12975070475537354,0.16044925279652167
2012,"Girls",5,"Central and eastern Europe",NA,0.03685994918944886,0.02952679760323115,0.045178256706121855,0.08577342469853386,0.07158929620681785,0.10176109796663288,0.12263337388798273,0.10711808787936036,0.13922512485210523,0.13786836816521078,0.1228810258353223,0.15296118179028248,0.5931851067473632,0.5733389158921289,0.612567921801742,0.14631315119944327,0.1312982169878486,0.16258779918766458
2013,"Girls",5,"Central and eastern Europe",NA,0.037025518051125514,0.029632192605966935,0.045584910721565314,0.08617914172467256,0.07184465418960918,0.10234067063331949,0.12320465977579807,0.10735062878422577,0.14022741757033708,0.13779290283331294,0.12274817138950458,0.15305009473097453,0.591273232436312,0.5713905223218849,0.6112504203188667,0.14772920495457692,0.1322488577003824,0.1641506026408819
2014,"Girls",5,"Central and eastern Europe",NA,0.037245417152683105,0.029755754841883954,0.04589925965598858,0.08635619020981448,0.07182093602783031,0.10289792252052572,0.12360160736249759,0.10751796323915858,0.1406303855931433,0.137789168213393,0.12281953533921244,0.15334720304311983,0.5896624489238469,0.5693254275354768,0.609510247166806,0.1489467755002625,0.13315979663502733,0.16561659169510598
2015,"Girls",5,"Central and eastern Europe",NA,0.03750726718177058,0.029865007833884197,0.04635788677294442,0.08647600583387038,0.07214073410173888,0.10334450564833299,0.12398327301564097,0.1077692170022086,0.14138889215609823,0.13782238590877746,0.12261859779242626,0.1536114071286893,0.5882115574085892,0.567408532578162,0.6085727444963711,0.1499827836669923,0.1338757403069807,0.16673789878098194
2016,"Girls",5,"Central and eastern Europe",NA,0.037794053666415785,0.029898021704688933,0.04699053815513583,0.08663137814938505,0.07199983964264858,0.10358141279121194,0.12442543181580083,0.10798130853251366,0.14188163108850385,0.1378151728054984,0.1223805709992587,0.15381942121181133,0.5868664899616572,0.5654755387011952,0.6077178913299229,0.1508929054170434,0.13445441992545626,0.1677415365936978
2017,"Girls",5,"Central and eastern Europe",NA,0.03807384092908909,0.0300306356857453,0.047657194452164105,0.08684240905280184,0.07179161694227985,0.1039013370558557,0.12491624998189094,0.10788731516669381,0.14280701886904734,0.13772846131841834,0.12195860327075968,0.1540141574605771,0.5856641830300672,0.5635968323625067,0.6070110442101021,0.1516911056696235,0.13455735698185262,0.16882838235160672
2018,"Girls",5,"Central and eastern Europe",NA,0.03834742094412985,0.02995213552164642,0.0484309000214812,0.08707889514314368,0.07143748223284863,0.10466099938713795,0.12542631608727353,0.10796594063104861,0.14398792913186648,0.13758024584746895,0.12083061267534073,0.15454930107180323,0.584580014983198,0.5618166192447043,0.6070628501305628,0.15241342308205955,0.1344920411731915,0.17038941992000972
