"Country","ISO","Sex","Year","Age-standardised prevalence of diabetes (18+ years)","Age-standardised prevalence of diabetes (18+ years) lower 95% uncertainty interval","Age-standardised prevalence of diabetes (18+ years) upper 95% uncertainty interval","Age-standardised proportion of people with diabetes who were treated (30+ years)","Age-standardised proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Age-standardised proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval","Crude prevalence of diabetes (18+ years)","Crude prevalence of diabetes (18+ years) lower 95% uncertainty interval","Crude prevalence of diabetes (18+ years) upper 95% uncertainty interval","Crude proportion of people with diabetes who were treated (30+ years)","Crude proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Crude proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Indonesia","IDN","Men",2019,0.0927896634604709,0.0579071184791715,0.135574118627542,0.200185296334811,0.120122312288874,0.29751063778432,0.0880140541719847,0.0546055413925932,0.129469196841789,0.199884015953809,0.120016492334223,0.297720680702281
"Indonesia","IDN","Men",2020,0.0977331507745172,0.0586129603851342,0.147551389524679,0.197928801553112,0.112174232425204,0.302115908928048,0.093507678732365,0.0558127999900862,0.141807601797335,0.198231778844043,0.112323385286849,0.304305587207285
"Indonesia","IDN","Men",2021,0.102981011233131,0.0588567329830915,0.160370000783613,0.195934556469329,0.104767396633149,0.309010034735241,0.0991911025522158,0.0560512287551681,0.155363948483431,0.196789899882709,0.104821223205204,0.310439091974565
"Indonesia","IDN","Men",2022,0.108518946468104,0.0588311131179958,0.176106323624245,0.194189727664976,0.0953055484314105,0.318745738963197,0.105347618926276,0.0567777517189777,0.17202408935,0.195591303723523,0.0957779336955336,0.320813141656134
"Indonesia","IDN","Women",1990,0.0505550805594175,0.0214341905566743,0.0956670828179984,0.216679110369362,0.0878948727838874,0.407793291428198,0.0422178412987472,0.01733309218244,0.0813580485358145,0.215303453619982,0.0876779005869907,0.40478727908014
"Indonesia","IDN","Women",1991,0.0497823289468509,0.0222069525473548,0.0915543093750173,0.220070799442562,0.0913167378109991,0.405893615325372,0.041575527234815,0.018258408490126,0.0784438973906073,0.218742727061462,0.0904274685219111,0.405073289638845
"Indonesia","IDN","Women",1992,0.0491204411502061,0.0229913059169756,0.0886414081244656,0.223531179443987,0.0942981038201014,0.407439441321872,0.0410493429042245,0.0189763109369044,0.0750501477720459,0.222220215523866,0.0940594092873938,0.403843895201799
"Indonesia","IDN","Women",1993,0.0485312233867981,0.0235044162777233,0.084793959674533,0.226991452431622,0.0975395538297794,0.406346920437812,0.040603258631187,0.0194479298844494,0.0720802299848869,0.225665389624118,0.096835606354299,0.404772839435327
"Indonesia","IDN","Women",1994,0.0480429145813823,0.0238575170263191,0.0825048344148367,0.230381757176868,0.101253443260466,0.407090121989516,0.0402462448046759,0.0197657313399595,0.0698678364037851,0.228994438083024,0.10046452359128,0.405875963157468
"Indonesia","IDN","Women",1995,0.0476729782836545,0.0246729689640676,0.0801435998975495,0.233726905669279,0.103942841996712,0.407131605771612,0.0400003242041799,0.0203692766673595,0.0683532225977645,0.232239984552572,0.10289031892451,0.404297445293272
"Indonesia","IDN","Women",1996,0.0474179020451771,0.025239410208262,0.0782353183931996,0.236987786758332,0.107615401538071,0.408154047725921,0.0398660688346037,0.0209661986327657,0.0667215153457295,0.235387017820947,0.106614909138314,0.40631063850361
"Indonesia","IDN","Women",1997,0.0472957439664365,0.0258691627884776,0.0766735482051199,0.24019585986776,0.109763059774188,0.409544324493339,0.03985191101238,0.0215644228442187,0.0655362488545086,0.238458162588398,0.108568116655988,0.406597389350436
"Indonesia","IDN","Women",1998,0.0472949294761742,0.0268114422438857,0.0757007410119353,0.243279698022214,0.113554649109018,0.410332118788248,0.0399530889691532,0.0223791020659238,0.0647369508247879,0.241379262815145,0.112389164408503,0.408782480312009
"Indonesia","IDN","Women",1999,0.0474376384042439,0.0275292298945468,0.0748573933192496,0.246248953159388,0.116187882728954,0.411713838977028,0.0401875426145185,0.0231202272293531,0.0644020395078845,0.244140284155229,0.115021778314416,0.409522127019647
"Indonesia","IDN","Women",2000,0.0477557861479423,0.0282963848645897,0.0746783423233892,0.249133997523401,0.119418806825325,0.41388933898376,0.0405898419865398,0.023939229919956,0.064232099127576,0.246798594028857,0.118223782071803,0.409603597592849
"Indonesia","IDN","Women",2001,0.0482509660341215,0.0289879073403463,0.0744888172798444,0.251869070065869,0.123629277055202,0.416406345948414,0.0411760076061373,0.0243144637569303,0.0641715621383803,0.249332457090308,0.122471236347001,0.413343985086704
"Indonesia","IDN","Women",2002,0.0489602681378764,0.029813419338735,0.0749706187644868,0.254399628295676,0.12785033882611,0.417661086000361,0.0419812761805369,0.025166507867458,0.0644257669033649,0.251666419662982,0.12639472606648,0.414188154713853
"Indonesia","IDN","Women",2003,0.0499363562819906,0.0308099088862351,0.0755686437367287,0.256744516092374,0.131615891769377,0.418940855878726,0.0430663746681483,0.0262074237520059,0.0658699182556278,0.253800475550157,0.129908976679581,0.415340066472307
"Indonesia","IDN","Women",2004,0.0512189497718808,0.0314181629085657,0.0765046875908769,0.258840955563784,0.135769529389801,0.419943367838763,0.0444662741120852,0.0270919073654575,0.0669448796863185,0.255657274591879,0.133346557744022,0.415976455082499
"Indonesia","IDN","Women",2005,0.0527881530861669,0.0325560966194914,0.0782517109675849,0.260658230267358,0.138700800304391,0.418494274859679,0.0461666391044845,0.0281510286305871,0.0689628416976729,0.257243496508849,0.136072526243014,0.413266501333472
"Indonesia","IDN","Women",2006,0.0546865275160226,0.0338276934900765,0.0806747749585053,0.262094751306334,0.142271441555689,0.415402981188192,0.0482102190214754,0.0296045824512802,0.0715925457136572,0.258498936999898,0.140189622031501,0.412107462702968
"Indonesia","IDN","Women",2007,0.0569110920000242,0.0351716968882856,0.0830518381481197,0.263095838282474,0.144881012402136,0.412334967430685,0.0505919832862951,0.0311266458479245,0.0744388196335915,0.259352750181255,0.142634150691836,0.40694554536091
"Indonesia","IDN","Women",2008,0.059477440367314,0.0371540441698129,0.0867979466059851,0.263689796566528,0.148427908593553,0.408531936641932,0.0533471323395238,0.0330998663152315,0.07818442648879,0.259818574905686,0.145523619907072,0.402628211140048
"Indonesia","IDN","Women",2009,0.0623994854285537,0.039563581579425,0.090571735933056,0.263882270185233,0.150626211118194,0.403351735017379,0.0564855818206067,0.0355563140876086,0.0824957982522758,0.259894361234215,0.148360270028006,0.39812852240089
