"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Global",NA,"Men",2001,"Crude",0.0768381370734788,0.0704879690439953,0.0834986075826788,0.312112478338781,0.283692975323247,0.34262031464155
"Global",NA,"Men",2002,"Crude",0.0791321682217994,0.0730154748501773,0.0856987620116467,0.315672071402905,0.28884423545439,0.344267601045846
"Global",NA,"Men",2003,"Crude",0.0815180313000382,0.0756079330601952,0.0877480962943762,0.319465428155733,0.29452101986321,0.346374792896608
"Global",NA,"Men",2004,"Crude",0.0839434113951314,0.07830537680522,0.0900246360129407,0.32348089645416,0.299855054370026,0.348441988801225
"Global",NA,"Men",2005,"Crude",0.0864017866735593,0.080961305021149,0.0922688730162181,0.32773216015526,0.305603451378985,0.351009319103957
"Global",NA,"Men",2006,"Crude",0.0889239758949409,0.0835105789718298,0.0946002885686122,0.332156257533667,0.31139587460403,0.353870880960392
"Global",NA,"Men",2007,"Crude",0.0915265611893905,0.086315397217668,0.0969898803255201,0.33680636239633,0.316978881193085,0.357205437397228
"Global",NA,"Men",2008,"Crude",0.0941927924910269,0.0889882697157376,0.0995701355455635,0.341680186784343,0.322864497512022,0.360865102134288
"Global",NA,"Men",2009,"Crude",0.0968920281626026,0.091809977994566,0.102179504417965,0.346743922115947,0.328870158682257,0.365205137475479
"Global",NA,"Men",2010,"Crude",0.0996225274278932,0.0944983342520529,0.10485321566305,0.35191081980915,0.334537504835047,0.369743586058397
"Global",NA,"Men",2011,"Crude",0.102378682334552,0.0971771702375343,0.107632180372251,0.357146498058773,0.339669472938113,0.374718253396463
"Global",NA,"Men",2012,"Crude",0.105236053647334,0.099962902594626,0.110564062267913,0.362389240387025,0.345014365508432,0.379930257380839
