"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity)","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval"
2000,"Women","Central and eastern Europe",NA,0.035848892988537266,0.039626242185705686,0.032377338029471896,0.22203797296030608,0.23129396420301326,0.21280480896119625,0.25788686594884336,0.267755241268513,0.24797487973761873,0.06906750710481618,0.07360273528720386,0.06499976903070813,0.38390407112637204,0.3940544468776303,0.373895795333903,0.28914155381996837,0.2991310155956881,0.2792860654114796,0.14929874543587343,0.15757163207961944,0.14084186800112442,0.053107521407121626,0.05859418183833785,0.048224664350305056,0.019631706117311045,0.023064525544085192,0.01684000973500003
2001,"Women","Central and eastern Europe",NA,0.03616933492234393,0.03987806916731183,0.03273785003657375,0.2243810446517595,0.23358642682705968,0.2153479206431438,0.26055037957410343,0.2703880090652674,0.25095685367968973,0.0692575386045615,0.07365104823538436,0.06528112833598335,0.382041609563035,0.3919026063375394,0.37234029257417134,0.28815047025830004,0.29805935817687057,0.2785850270537251,0.15022634699302115,0.1584954692126823,0.1419855207760735,0.05405228411419123,0.05955023617058565,0.049176053689032335,0.020102413544547146,0.023452145590411616,0.017317792270637247
2002,"Women","Central and eastern Europe",NA,0.03644601813683351,0.04006485351298911,0.03304000232689149,0.22679467208066367,0.23587203601000406,0.2178642300687027,0.2632406902174972,0.27294574362298735,0.2538125531530335,0.06942583455561137,0.07376994672147277,0.06555380526928657,0.38012604376150066,0.38973328674361,0.37086453603297703,0.28720742946539074,0.29688839269003414,0.2777688428546916,0.15117762933262813,0.15943932833729135,0.1429392474076609,0.05502490688226649,0.06046076899565249,0.050142884536734295,0.02059213586576905,0.023936422684534938,0.017754198096320416
2003,"Women","Central and eastern Europe",NA,0.036694870001163574,0.04029277308867035,0.03329538066626276,0.2291628309419763,0.23822390618526576,0.2203805811686454,0.2658577009431398,0.27559183998684333,0.2564442353795293,0.06958279689569069,0.07386798648468038,0.0657320946814592,0.37824125161524774,0.38775711837644744,0.3689761198114159,0.28631824854592175,0.2959564239454503,0.27686381647083835,0.15209070578305023,0.16015765102560864,0.14381127274700947,0.05598278490078337,0.06147689293601952,0.051081516317006054,0.021089340258142644,0.02445381998268039,0.018207091865457808
2004,"Women","Central and eastern Europe",NA,0.036930380570289835,0.04052100788842736,0.03345931192832971,0.2313884528740772,0.24065708158364157,0.22247663523651762,0.268318833444367,0.2779658259763868,0.2589029192538328,0.06972359352651572,0.07407912618125535,0.06587076539968614,0.3764770065385038,0.3860150261484362,0.36725098761074976,0.2854805644906135,0.2950526264957736,0.2761305068920667,0.15292544288297671,0.16102349327491092,0.1445832013880428,0.05688653342798631,0.06236913647934061,0.05191724175913023,0.021576476563114157,0.024999163542486224,0.018624532313761943
2005,"Women","Central and eastern Europe",NA,0.03716389491860589,0.04083010141621548,0.033636510573943526,0.23351759872108055,0.24279927991390565,0.22461759043214435,0.2706814936396864,0.2804271932453575,0.2612289973948659,0.06984957975767062,0.07419331185458894,0.06586288570768639,0.3748219917594352,0.38435254402868707,0.365507773555788,0.28464693284320775,0.2942660024771401,0.2751618780635688,0.15371462947291545,0.162065003331867,0.14531674173304282,0.05773585394746297,0.06319143216023933,0.05270230511807081,0.022067115300702128,0.02558602317299658,0.019014268108878973
2006,"Women","Central and eastern Europe",NA,0.03739666398992556,0.041155604010462435,0.033784384528067,0.23554600199312314,0.24505914259850226,0.22657982113126363,0.27294266598304867,0.2829013202538307,0.26336296952051963,0.06996103569153662,0.07437507384391281,0.06578894179374349,0.37330922289129953,0.3828587481990351,0.36371561459546764,0.28378707343411513,0.29341003714596015,0.27429733306700266,0.15446905926387625,0.16302783683254474,0.14592362063455352,0.05852410964661767,0.06401295265389782,0.053447276673087005,0.022552833082629235,0.026187156069882377,0.019406207492613556
2007,"Women","Central and eastern Europe",NA,0.037634967680762604,0.04151902019945867,0.03394191895915074,0.23751095643072354,0.24697243691954798,0.22832440426299347,0.27514592411148614,0.2850416655369742,0.2651616261652729,0.07005134540298694,0.07459781559622565,0.06572822059046689,0.37187755727883226,0.3814044822952326,0.3620751719992693,0.28292517120669464,0.29259954428668306,0.27335437020315007,0.15522548425651866,0.16390162466063934,0.14657753630952416,0.05924198779178035,0.06481357819328752,0.05402249182760637,0.02304348438242453,0.026829473527272253,0.01981207609102702
2008,"Women","Central and eastern Europe",NA,0.03788259514008871,0.04199061567303577,0.03408300185406374,0.2393343568174683,0.24882300370194557,0.23000568422870157,0.2772169519575571,0.28737541979514164,0.26690104011125354,0.07012919358341624,0.07478605080217451,0.06563417156920497,0.37058605477767365,0.3802755368278993,0.36055634735360137,0.2820677976813531,0.29187409907617096,0.27227196149447935,0.1559430407294869,0.16470910923201731,0.14736197904108012,0.05986310233981122,0.06548115647144521,0.0545878140860385,0.023528213748170247,0.027348654408543,0.020212105557358178
2009,"Women","Central and eastern Europe",NA,0.03812007168842353,0.04241988910592595,0.034157705862852494,0.24099367146550918,0.25058254726685936,0.23131282168100756,0.2791137431539327,0.2893932965802983,0.268826852135788,0.07020793416602708,0.07492114515488531,0.0655784909367284,0.3694475750001226,0.3794722423817704,0.3590580367895283,0.28123074567991757,0.29131152978155805,0.2713291028065641,0.1566131177417738,0.16557612057061558,0.1480986726761658,0.06037102312692215,0.06602965751095174,0.05495366126805957,0.02400953059681324,0.02795275593502521,0.02063313501804747
